COMMAND

    echo 'The Belobog Academy has discovered a new, invasive species of algae that can double itself in one day, and in 30 days fills a whole reservoir - contaminating the water supply. How many days would it take for the algae to fill half of the reservoir?' | ./gemma --model 7b-it --compressed_weights ~/weights/gemma-7b-it-sfp/7b-it-sfp.sbs --tokenizer ~/weights/gemma-7b-it-sfp/tokenizer.spm --num_threads 1 --verbosity 0 --temperature 0

MATVEC OUTPUT TRACE

    The `gold` output matrix was produced on an avx512 machine. The
    `out` output matrix was produced on an AVX2 machine. These logs
    display the sum of absolute differences (sad) between the two output
    vectors, divided by the number of elements. Each line also displays
    the min/max value of each vector, to show the range.

[ Reading prompt ]
trace/000_000_00000.dat: sad 0.0166305 [gold -56.3748 .. 52.962] [out -56.052 .. 52.6557]
trace/000_000_00001.dat: sad 0.00508727 [gold -10.1993 .. 39.0091] [out -10.2295 .. 39.0379]
trace/000_000_00002.dat: sad 0.00363831 [gold -242.103 .. 108.747] [out -242.242 .. 108.771]
trace/000_000_00003.dat: sad 0.447703 [gold -108.444 .. 110.371] [out -111.375 .. 116.49]
trace/000_000_00004.dat: sad 0.228569 [gold -11.3771 .. 26.3586] [out -12.6937 .. 29.076]
trace/000_000_00005.dat: sad 0.248483 [gold -35.9019 .. 18.1107] [out -32.862 .. 15.0522]
trace/000_000_00006.dat: sad 0.274676 [gold -62.7441 .. 57.7639] [out -54.9311 .. 51.1179]
trace/000_000_00007.dat: sad 0.112984 [gold -11.447 .. 16.5614] [out -10.8355 .. 16.4939]
trace/000_000_00008.dat: sad 0.0940691 [gold -9.14848 .. 6.60269] [out -7.44384 .. 5.75955]
trace/000_000_00009.dat: sad 0.165925 [gold -59.2242 .. 56.4984] [out -54.4676 .. 52.305]
trace/000_000_00010.dat: sad 0.116614 [gold -14.0899 .. 13.9409] [out -13.9208 .. 14.6338]
trace/000_000_00011.dat: sad 0.098425 [gold -6.92489 .. 6.78044] [out -6.42983 .. 6.13425]
trace/000_000_00012.dat: sad 0.362835 [gold -55.8818 .. 53.4205] [out -47.4575 .. 45.6897]
trace/000_000_00013.dat: sad 0.167594 [gold -13.2346 .. 18.8985] [out -12.7962 .. 19.5957]
trace/000_000_00014.dat: sad 0.109438 [gold -5.30734 .. 5.1318] [out -3.94579 .. 4.16015]
trace/000_000_00015.dat: sad 0.202649 [gold -67.2056 .. 59.7422] [out -61.9203 .. 55.2815]
trace/000_000_00016.dat: sad 0.0911929 [gold -10.2127 .. 17.2163] [out -9.94625 .. 17.3831]
trace/000_000_00017.dat: sad 0.0996209 [gold -10.2226 .. 8.47604] [out -7.89852 .. 7.35338]
trace/000_000_00018.dat: sad 0.544424 [gold -51.7945 .. 42.4191] [out -37.4108 .. 30.117]
trace/000_000_00019.dat: sad 0.172398 [gold -10.4666 .. 14.2963] [out -9.10989 .. 12.9959]
trace/000_000_00020.dat: sad 0.134478 [gold -6.66295 .. 4.65648] [out -3.88415 .. 3.4565]
trace/000_000_00021.dat: sad 0.796044 [gold -51.4416 .. 43.7024] [out -29.2457 .. 26.0193]
trace/000_000_00022.dat: sad 0.254692 [gold -10.6954 .. 13.9683] [out -8.80251 .. 12.4521]
trace/000_000_00023.dat: sad 0.172683 [gold -6.05104 .. 5.73145] [out -3.02401 .. 3.52893]
trace/000_000_00024.dat: sad 5.86815e-08 [gold -57.9847 .. 51.7667] [out -57.9847 .. 51.7667]
trace/000_000_00025.dat: sad 3.01836e-08 [gold -9.38061 .. 16.3213] [out -9.38061 .. 16.3213]
trace/000_000_00026.dat: sad 5.29776e-08 [gold -7.92892 .. 4.3903] [out -7.92892 .. 4.3903]
trace/000_000_00027.dat: sad 5.25148e-08 [gold -52.75 .. 50.8858] [out -52.75 .. 50.8858]
trace/000_000_00028.dat: sad 3.26748e-08 [gold -11.3511 .. 19.282] [out -11.3511 .. 19.282]
trace/000_000_00029.dat: sad 4.37001e-08 [gold -4.21024 .. 3.72614] [out -4.21024 .. 3.72614]
trace/000_000_00030.dat: sad 5.58953e-08 [gold -47.5253 .. 44.6098] [out -47.5253 .. 44.6098]
trace/000_000_00031.dat: sad 3.286e-08 [gold -9.70199 .. 16.7478] [out -9.70199 .. 16.7478]
trace/000_000_00032.dat: sad 5.42092e-08 [gold -5.98829 .. 5.67666] [out -5.98829 .. 5.67666]
trace/000_000_00033.dat: sad 1.53616e-07 [gold -52.1033 .. 50.3848] [out -52.1033 .. 50.3848]
trace/000_000_00034.dat: sad 1.09662e-07 [gold -12.297 .. 19.4308] [out -12.297 .. 19.4308]
trace/000_000_00035.dat: sad 6.79902e-08 [gold -3.61301 .. 5.04517] [out -3.61301 .. 5.04517]
trace/000_000_00036.dat: sad 5.56512e-08 [gold -48.9719 .. 47.3725] [out -48.9719 .. 47.3725]
trace/000_000_00037.dat: sad 3.47231e-08 [gold -9.27113 .. 20.2162] [out -9.27113 .. 20.2162]
trace/000_000_00038.dat: sad 4.78112e-08 [gold -4.02711 .. 4.40209] [out -4.02711 .. 4.40209]
trace/000_000_00039.dat: sad 0.000192723 [gold -42.3657 .. 41.2595] [out -42.3648 .. 41.2582]
trace/000_000_00040.dat: sad 9.44549e-05 [gold -13.0519 .. 17.6366] [out -13.0519 .. 17.6365]
trace/000_000_00041.dat: sad 2.63317e-05 [gold -3.24565 .. 4.74303] [out -3.24558 .. 4.74271]
trace/000_000_00042.dat: sad 6.33311e-08 [gold -48.3981 .. 45.1598] [out -48.3981 .. 45.1598]
trace/000_000_00043.dat: sad 3.39524e-08 [gold -8.15553 .. 15.5178] [out -8.15553 .. 15.5178]
trace/000_000_00044.dat: sad 5.02099e-08 [gold -8.01276 .. 4.87223] [out -8.01276 .. 4.87223]
trace/000_000_00045.dat: sad 5.38007e-08 [gold -43.2231 .. 42.0807] [out -43.2231 .. 42.0807]
trace/000_000_00046.dat: sad 3.35212e-08 [gold -9.14414 .. 15.6345] [out -9.14414 .. 15.6345]
trace/000_000_00047.dat: sad 4.16353e-08 [gold -4.15088 .. 4.23411] [out -4.15088 .. 4.23411]
trace/000_000_00048.dat: sad 0.00578477 [gold -5.18873 .. 16.8437] [out -5.14338 .. 16.5151]
trace/000_000_00049.dat: sad 0.00763166 [gold -3.56177 .. 20.4995] [out -3.48437 .. 20.1594]
trace/000_000_00050.dat: sad 0.0109076 [gold -58.1577 .. 27.67] [out -56.1629 .. 26.7208]
trace/000_000_00051.dat: sad 0.136819 [gold -9.91112 .. 12.5254] [out -8.40085 .. 11.5011]
trace/000_000_00052.dat: sad 0.18027 [gold -10.0389 .. 8.83027] [out -12.5286 .. 6.9689]
trace/000_000_00053.dat: sad 0.0812905 [gold -7.97068 .. 5.88017] [out -4.69756 .. 3.53057]
trace/000_000_00054.dat: sad 0.0586151 [gold -5.28501 .. 7.68949] [out -6.15491 .. 8.30869]
trace/000_000_00055.dat: sad 0.0881635 [gold -9.47637 .. 4.03425] [out -11.5477 .. 4.09095]
trace/000_000_00056.dat: sad 0.0227844 [gold -1.28833 .. 2.16022] [out -0.822418 .. 1.31169]
trace/000_000_00057.dat: sad 0.0760884 [gold -6.58137 .. 10.5227] [out -6.38187 .. 10.5494]
trace/000_000_00058.dat: sad 0.109851 [gold -10.2283 .. 5.01784] [out -10.9979 .. 4.88157]
trace/000_000_00059.dat: sad 0.0323613 [gold -1.64004 .. 4.67947] [out -0.909528 .. 3.59513]
trace/000_000_00060.dat: sad 0.0799336 [gold -6.1845 .. 8.74045] [out -6.00181 .. 8.82682]
trace/000_000_00061.dat: sad 0.115661 [gold -8.37781 .. 4.842] [out -9.65237 .. 4.95398]
trace/000_000_00062.dat: sad 0.0287042 [gold -1.08303 .. 4.36822] [out -0.645936 .. 3.19617]
trace/000_000_00063.dat: sad 0.0752032 [gold -7.51969 .. 9.7064] [out -7.13905 .. 9.83896]
trace/000_000_00064.dat: sad 0.112365 [gold -9.37571 .. 5.03675] [out -11.0542 .. 4.75257]
trace/000_000_00065.dat: sad 0.0400403 [gold -1.84374 .. 1.80059] [out -1.19337 .. 1.31174]
trace/000_000_00066.dat: sad 0.0939364 [gold -8.58775 .. 10.6461] [out -8.47801 .. 10.3374]
trace/000_000_00067.dat: sad 0.134067 [gold -9.62981 .. 6.83613] [out -12.2314 .. 6.65876]
trace/000_000_00068.dat: sad 0.0477974 [gold -1.17897 .. 2.26699] [out -1.21539 .. 1.30481]
trace/000_000_00069.dat: sad 0.137833 [gold -8.54074 .. 9.7341] [out -9.94192 .. 9.82011]
trace/000_000_00070.dat: sad 0.185616 [gold -11.4618 .. 7.02162] [out -15.8968 .. 7.61553]
trace/000_000_00071.dat: sad 0.0683738 [gold -1.56336 .. 2.69361] [out -1.23122 .. 1.36871]
trace/000_000_00072.dat: sad 0.00865643 [gold -6.81618 .. 8.39506] [out -6.82568 .. 8.40341]
trace/000_000_00073.dat: sad 0.0162795 [gold -11.128 .. 5.53136] [out -11.0066 .. 5.53139]
trace/000_000_00074.dat: sad 0.00301944 [gold -1.3799 .. 1.66592] [out -1.43021 .. 1.71552]
trace/000_000_00075.dat: sad 0.0114529 [gold -7.09227 .. 10.0798] [out -7.08486 .. 10.0011]
trace/000_000_00076.dat: sad 0.0167691 [gold -12.2607 .. 4.95699] [out -11.9756 .. 4.92464]
trace/000_000_00077.dat: sad 0.00417921 [gold -1.26128 .. 3.83148] [out -1.37389 .. 3.84694]
trace/000_000_00078.dat: sad 0.00320043 [gold -6.64399 .. 9.17061] [out -6.63729 .. 9.13664]
trace/000_000_00079.dat: sad 0.00540828 [gold -12.3907 .. 5.6598] [out -12.2718 .. 5.65268]
trace/000_000_00080.dat: sad 0.00135257 [gold -1.49337 .. 2.23889] [out -1.52063 .. 2.26673]
trace/000_000_00081.dat: sad 0.00498099 [gold -7.63775 .. 9.68257] [out -7.50795 .. 9.62939]
trace/000_000_00082.dat: sad 0.00800117 [gold -14.1515 .. 4.76284] [out -13.9844 .. 4.74136]
trace/000_000_00083.dat: sad 0.00170135 [gold -0.903078 .. 2.86736] [out -0.931763 .. 2.88705]
trace/000_000_00084.dat: sad 0.00457565 [gold -7.1992 .. 9.75745] [out -7.0816 .. 9.71202]
trace/000_000_00085.dat: sad 0.00706739 [gold -14.5294 .. 4.7467] [out -14.3189 .. 4.72169]
trace/000_000_00086.dat: sad 0.0016632 [gold -0.893484 .. 2.09629] [out -0.893533 .. 2.12516]
trace/000_000_00087.dat: sad 0.00458567 [gold -8.79905 .. 11.1638] [out -8.6514 .. 11.1094]
trace/000_000_00088.dat: sad 0.0078387 [gold -16.2971 .. 5.85535] [out -16.0974 .. 5.832]
trace/000_000_00089.dat: sad 0.00160977 [gold -0.701874 .. 2.90771] [out -0.701097 .. 2.93471]
trace/000_000_00090.dat: sad 0.00391624 [gold -6.22194 .. 8.93063] [out -6.204 .. 8.88532]
trace/000_000_00091.dat: sad 0.00648972 [gold -8.84403 .. 6.63902] [out -8.70971 .. 6.62491]
trace/000_000_00092.dat: sad 0.00171699 [gold -1.27898 .. 0.921427] [out -1.32164 .. 0.914319]
trace/000_000_00093.dat: sad 0.00419389 [gold -6.90362 .. 8.5352] [out -6.89599 .. 8.48842]
trace/000_000_00094.dat: sad 0.00686109 [gold -10.0345 .. 4.92502] [out -9.87383 .. 4.90475]
trace/000_000_00095.dat: sad 0.00183142 [gold -1.19567 .. 1.05162] [out -1.19439 .. 1.05263]
trace/000_000_00096.dat: sad 0.00286981 [gold -8.35711 .. 5.95586] [out -8.33702 .. 5.94913]
trace/000_000_00097.dat: sad 0.00469224 [gold -6.7522 .. 2.22363] [out -6.75092 .. 2.21344]
trace/000_000_00098.dat: sad 0.000936762 [gold -1.69743 .. 2.66141] [out -1.67404 .. 2.6446]
trace/000_000_00099.dat: sad 0.13685 [gold -17.2025 .. 16.3017] [out -15.6155 .. 15.27]
trace/000_000_00100.dat: sad 0.185105 [gold -6.36661 .. 4.24159] [out -5.89977 .. 3.85641]
trace/000_000_00101.dat: sad 0.0183354 [gold -0.424193 .. 1.62425] [out -0.48515 .. 1.81944]
trace/000_000_00102.dat: sad 0.0729191 [gold -11.4073 .. 11.6794] [out -11.8204 .. 12.0112]
trace/000_000_00103.dat: sad 0.175046 [gold -4.78175 .. 2.65443] [out -4.84503 .. 2.54994]
trace/000_000_00104.dat: sad 0.0147094 [gold -0.431008 .. 1.7764] [out -0.381736 .. 1.44259]
